title,release_date,type,runtime,genre,director,cast,country,language,production_company,synopsis,tags,imdb_rating,imdb_review_count,imdb_id
어드벤처 인 베이비시팅,2016-06-24,movie,95,"코미디, 가족, 모험, TV 영화",,,,,"Bad Angels Productions, Ltd.",,"babysitter, remake",,,tt4456850
Saving Sally,2016-12-25,movie,94,"애니메이션, 코미디, 판타지, 로맨스",,,,,KB Studios,,philippines,,,tt5569560
화이트 걸,2016-09-02,movie,88,드라마,,,,,Bank Street Films,,"drug dealer, new york city, sexual promiscuity, undercover cop, woman director, money problems, college roommate",,,tt4129870
Hollower,2016-08-29,movie,92,공포,,,,,Mycho Entertainment Group,,,,,tt4324020
Projekt A - Eine Reise zu anarchistischen Projekten in Europa,2016-02-04,movie,85,다큐멘터리,,,,,Drop-Out Cinema,,"punk rock, europe, emancipation, inspiring, diy, anarchism, cooperative, left politics",,,tt5060712
The Trouble Agent,2016-03-11,movie,9,"액션, 코미디",,,,,Sony Pictures,,,,,
Automatic at Sea,2016-10-28,movie,87,"미스터리, 모험, 드라마",,,,,Caesura Media,,,,,tt4169074
Protocol 734,2016-09-07,movie,110,"스릴러, 액션",,,,,,,,,,tt5347126
Winners Tape All: The Henderson Brothers Story,2016-03-23,movie,67,"코미디, 공포",,,,,,,"mockumentary, found footage",,,tt5167122
Talking to the Air: The Horses of the Last Forbidden Kingdom,2016-08-01,movie,56,"다큐멘터리, 역사",,,,,Adventure Nepal Productions,,woman director,,,tt4485966
장미의 땅: 쿠르드의 여전사들,2016-08-23,movie,84,"다큐멘터리, 전쟁",,,,,mîtosfilm,,woman director,,,tt5100152
Capital I,2016-10-23,movie,85,,,,,,,,,,,tt3690050
నాన్నకు ప్రేమతో...,2016-01-13,movie,168,액션,,,,,Sri Venkateswara Cine Chitra,,"father, revenge for cheating",,,tt5098128
Эликсир,2016-03-17,movie,83,"드라마, 판타지, 코미디",,,,,Cine Fantom,,,,,tt5454982
비포 더 플러드,2016-10-21,movie,93,다큐멘터리,,,,,RatPac Documentary Films,,"society, climate change, natural disaster, global warming, green energy, environment, environmentalism, endangered species, environmental disaster, climate emergency, climate crisis",,,tt5929776
하이 스트렁,2016-04-08,movie,96,"음악, 로맨스, 드라마",,,,,Sforzando Productions,,"dance, violin, ballet, leotard",,,tt3451230
페니 핀처,2016-09-28,movie,89,코미디,,,,,TF1,,"daughter, stingy",,,tt5253294
재키,2016-12-02,movie,100,드라마,,,,,LD Entertainment,,"assassination, usa president, widow, john f. kennedy, biography, dallas texas, president, grief, first lady, kennedy family, john f. kennedy assassination, death of husband, usa history, 1960s, jacqueline kennedy",,,tt1619029
XXX,2016-03-16,movie,0,드라마,,,,,,,philippines,,,tt5588670
텀 라이프,2016-04-29,movie,93,"스릴러, 드라마, 액션, 미스터리",,,,,WWE Studios,,"gun, based on comic, gun battle, young daughter, cop parent, dead widow",,,tt2978102
Brown Willy,2016-01-01,movie,76,"코미디, 드라마",,,,,,,,,,tt5106182
Warum Siegfried Teitelbaum sterben musste,2016-11-01,movie,0,코미디,,,,,,,,,,tt3353196
미스터 처치,2016-09-16,movie,104,드라마,,,,,Shenghua Entertainment,,"friendship, family, somber, reflective, inspirational, factual, gentle, hopeful",,,tt4196848
국가의 탄생,2016-09-09,movie,120,드라마,,,,,Tiny Giant Entertainment,,"southern usa, slavery, biography, based on true story, preacher, virginia, 19th century",,,tt4196450
오즈의 마법사: 돌아온 톰과 제리,2016-06-21,movie,80,"애니메이션, 코미디, 가족, 판타지, 모험",,,,,Turner Entertainment,,"magic, cartoon, villain, sequel, anthropomorphism, king, animals, wizard",,,tt5737408
Bruce Springsteen: On the Road,2016-04-26,movie,56,"다큐멘터리, 음악",,,,,,,,,,
판타스틱 부니베어,2016-01-16,movie,99,"애니메이션, 모험, 코미디",,,,,,,based on tv series,,,tt5471154
Den of Darkness,2016-02-20,movie,91,"공포, 스릴러",,,,,,,woman director,,,tt4887028
보살핌의 정석,2016-06-16,movie,93,"코미디, 드라마",,,,,Worldwide Pants,,"wheelchair, affectation, road trip, caregiver, disability, muscular dystrophy, approving, comforting",,,tt2452386
Blood of the Tribades,2016-03-27,movie,78,공포,,,,,Launch Over,,"vampire, woman director",,,tt4813254
Halumim,2016-11-17,movie,113,,,,,,,,,,,tt5805058
