Ceremony,Year,Class,Category,Film,Name,Winner,FilmId
94,2021,Production,CINEMATOGRAPHY,Dune,Greig Fraser,True,
94,2021,Production,CINEMATOGRAPHY,Nightmare Alley,Dan Laustsen,,
94,2021,Production,CINEMATOGRAPHY,The Power of the Dog,Ari Wegner,,
94,2021,Production,CINEMATOGRAPHY,The Tragedy of Macbeth,Bruno Delbonnel,,
94,2021,Production,CINEMATOGRAPHY,West Side Story,Janusz Kaminski,,
94,2021,Production,COSTUME DESIGN,Cruella,Jenny Beavan,True,
94,2021,Production,COSTUME DESIGN,Cyrano,Massimo Cantini Parrini and Jacqueline Durran,,
94,2021,Production,COSTUME DESIGN,Dune,Jacqueline West and Robert Morgan,,
94,2021,Production,COSTUME DESIGN,Nightmare Alley,Luis Sequeira,,
94,2021,Production,COSTUME DESIGN,West Side Story,Paul Tazewell,,
94,2021,Directing,DIRECTING,Belfast,Kenneth Branagh,,
94,2021,Directing,DIRECTING,Drive My Car,Ryusuke Hamaguchi,,
94,2021,Directing,DIRECTING,Licorice Pizza,Paul Thomas Anderson,,
94,2021,Directing,DIRECTING,The Power of the Dog,Jane Campion,True,
94,2021,Directing,DIRECTING,West Side Story,Steven Spielberg,,
94,2021,Title,DOCUMENTARY (Feature),Ascension,"Jessica Kingdon, Kira Simon-Kennedy and Nathan Truesdell",,
94,2021,Title,DOCUMENTARY (Feature),Attica,Stanley Nelson and Traci A. Curry,,
94,2021,Title,DOCUMENTARY (Feature),Flee,"Jonas Poher Rasmussen, Monica Hellström, Signe Byrge Sørensen and Charlotte De La Gournerie",,
94,2021,Title,DOCUMENTARY (Feature),"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Ahmir \""Questlove\"" Thompson, Joseph Patel, Robert Fyvolent and David Dinerstein",True,
94,2021,Title,DOCUMENTARY (Feature),Writing with Fire,Rintu Thomas and Sushmit Ghosh,,
94,2021,Title,DOCUMENTARY (Short Subject),Audible,Matt Ogens and Geoff McLean,,
94,2021,Title,DOCUMENTARY (Short Subject),Lead Me Home,Pedro Kos and Jon Shenk,,
94,2021,Title,DOCUMENTARY (Short Subject),The Queen of Basketball,Ben Proudfoot,True,
94,2021,Title,DOCUMENTARY (Short Subject),Three Songs for Benazir,Elizabeth Mirzaei and Gulistan Mirzaei,,
94,2021,Title,DOCUMENTARY (Short Subject),When We Were Bullies,Jay Rosenblatt,,
94,2021,Production,FILM EDITING,Don't Look Up,Hank Corwin,,
94,2021,Production,FILM EDITING,Dune,Joe Walker,True,
94,2021,Production,FILM EDITING,King Richard,Pamela Martin,,
94,2021,Production,FILM EDITING,The Power of the Dog,Peter Sciberras,,
94,2021,Production,FILM EDITING,"tick, tick...BOOM!",Myron Kerstein and Andrew Weisblum,,
94,2021,Title,INTERNATIONAL FEATURE FILM,Drive My Car,Japan,True,
94,2021,Title,INTERNATIONAL FEATURE FILM,Flee,Denmark,,
94,2021,Title,INTERNATIONAL FEATURE FILM,The Hand of God,Italy,,
94,2021,Title,INTERNATIONAL FEATURE FILM,Lunana: A Yak in the Classroom,Bhutan,,
94,2021,Title,INTERNATIONAL FEATURE FILM,The Worst Person in the World,Norway,,
94,2021,Production,MAKEUP AND HAIRSTYLING,Coming 2 America,"Mike Marino, Stacey Morris and Carla Farmer",,
94,2021,Production,MAKEUP AND HAIRSTYLING,Cruella,"Nadia Stacey, Naomi Donne and Julia Vernon",,
94,2021,Production,MAKEUP AND HAIRSTYLING,Dune,"Donald Mowat, Love Larson and Eva von Bahr",,
94,2021,Production,MAKEUP AND HAIRSTYLING,The Eyes of Tammy Faye,"Linda Dowds, Stephanie Ingram and Justin Raleigh",True,
94,2021,Production,MAKEUP AND HAIRSTYLING,House of Gucci,"Göran Lundström, Anna Carin Lock and Frederic Aspiras",,
94,2021,Music,MUSIC (Original Score),Don't Look Up,Nicholas Britell,,
94,2021,Music,MUSIC (Original Score),Dune,Hans Zimmer,True,
94,2021,Music,MUSIC (Original Score),Encanto,Germaine Franco,,
94,2021,Music,MUSIC (Original Score),Parallel Mothers,Alberto Iglesias,,
94,2021,Music,MUSIC (Original Score),The Power of the Dog,Jonny Greenwood,,
94,2021,Music,MUSIC (Original Song),King Richard,Music and Lyric by DIXSON and Beyoncé Knowles-Carter,,
94,2021,Music,MUSIC (Original Song),Encanto,Music and Lyric by Lin-Manuel Miranda,,
94,2021,Music,MUSIC (Original Song),Belfast,Music and Lyric by Van Morrison,,
94,2021,Music,MUSIC (Original Song),No Time to Die,Music and Lyric by Billie Eilish and Finneas O'Connell,True,
94,2021,Music,MUSIC (Original Song),Four Good Days,Music and Lyric by Diane Warren,,
94,2021,Title,BEST PICTURE,Belfast,"Laura Berwick, Kenneth Branagh, Becca Kovacik and Tamar Thomas, Producers",,
94,2021,Title,BEST PICTURE,CODA,"Philippe Rousselet, Fabrice Gianfermi and Patrick Wachsberger, Producers",True,
94,2021,Title,BEST PICTURE,Don't Look Up,"Adam McKay and Kevin Messick, Producers",,
94,2021,Title,BEST PICTURE,Drive My Car,"Teruhisa Yamamoto, Producer",,
94,2021,Title,BEST PICTURE,Dune,"Mary Parent, Denis Villeneuve and Cale Boyter, Producers",,
94,2021,Title,BEST PICTURE,King Richard,"Tim White, Trevor White and Will Smith, Producers",,
94,2021,Title,BEST PICTURE,Licorice Pizza,"Sara Murphy, Adam Somner and Paul Thomas Anderson, Producers",,
94,2021,Title,BEST PICTURE,Nightmare Alley,"Guillermo del Toro, J. Miles Dale and Bradley Cooper, Producers",,
94,2021,Title,BEST PICTURE,The Power of the Dog,"Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning and Roger Frappier, Producers",,
94,2021,Title,BEST PICTURE,West Side Story,"Steven Spielberg and Kristie Macosko Krieger, Producers",,
94,2021,Production,PRODUCTION DESIGN,Dune,Production Design: Patrice Vermette; Set Decoration: Zsuzsanna Sipos,True,
94,2021,Production,PRODUCTION DESIGN,Nightmare Alley,Production Design: Tamara Deverell; Set Decoration: Shane Vieau,,
94,2021,Production,PRODUCTION DESIGN,The Power of the Dog,Production Design: Grant Major; Set Decoration: Amber Richards,,
94,2021,Production,PRODUCTION DESIGN,The Tragedy of Macbeth,Production Design: Stefan Dechant; Set Decoration: Nancy Haigh,,
94,2021,Production,PRODUCTION DESIGN,West Side Story,Production Design: Adam Stockhausen; Set Decoration: Rena DeAngelo,,
94,2021,Title,SHORT FILM (Animated),Affairs of the Art,Joanna Quinn and Les Mills,,
94,2021,Title,SHORT FILM (Animated),Bestia,Hugo Covarrubias and Tevo Díaz,,
94,2021,Title,SHORT FILM (Animated),Boxballet,Anton Dyakov,,
94,2021,Title,SHORT FILM (Animated),Robin Robin,Dan Ojari and Mikey Please,,
94,2021,Title,SHORT FILM (Animated),The Windshield Wiper,Alberto Mielgo and Leo Sanchez,True,
94,2021,Title,SHORT FILM (Live Action),Ala Kachuu - Take and Run,Maria Brendle and Nadine Lüchinger,,
94,2021,Title,SHORT FILM (Live Action),The Dress,Tadeusz Lysiak and Maciej Slesicki,,
94,2021,Title,SHORT FILM (Live Action),The Long Goodbye,Aneil Karia and Riz Ahmed,True,
94,2021,Title,SHORT FILM (Live Action),On My Mind,Martin Strange-Hansen and Kim Magnusson,,
94,2021,Title,SHORT FILM (Live Action),Please Hold,K.D. Dávila and Levin Menekse,,
94,2021,Production,SOUND,Belfast,"Denise Yarde, Simon Chase, James Mather and Niv Adiri",,
94,2021,Production,SOUND,Dune,"Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett",True,
94,2021,Production,SOUND,No Time to Die,"Simon Hayes, Oliver Tarney, James Harrison, Paul Massey and Mark Taylor",,
94,2021,Production,SOUND,The Power of the Dog,"Richard Flynn, Robert Mackenzie and Tara Webb",,
94,2021,Production,SOUND,West Side Story,"Tod A. Maitland, Gary Rydstrom, Brian Chumney, Andy Nelson and Shawn Murphy",,
94,2021,Production,VISUAL EFFECTS,Dune,"Paul Lambert, Tristan Myles, Brian Connor and Gerd Nefzer",True,
94,2021,Production,VISUAL EFFECTS,Free Guy,"Swen Gillberg, Bryan Grill, Nikos Kalaitzidis and Dan Sudick",,
94,2021,Production,VISUAL EFFECTS,No Time to Die,"Charlie Noble, Joel Green, Jonathan Fawkner and Chris Corbould",,
94,2021,Production,VISUAL EFFECTS,Shang-Chi and the Legend of the Ten Rings,"Christopher Townsend, Joe Farrell, Sean Noel Walker and Dan Oliver",,
94,2021,Production,VISUAL EFFECTS,Spider-Man: No Way Home,"Kelly Port, Chris Waegner, Scott Edelstein and Dan Sudick",,
94,2021,Writing,WRITING (Adapted Screenplay),CODA,Screenplay by Siân Heder,True,
94,2021,Writing,WRITING (Adapted Screenplay),Drive My Car,"Screenplay by Ryusuke Hamaguchi, Takamasa Oe",,
